ticket_id,date,time,requester_id,lab_location,issue_description,category,status,resolution_hrs,assigned_tech,resolution_notes
TKT-S24-0000,01/29/2024,12:18,S0***166,Show Me Center Lab,Keyboard unresponsive,Hardware,Closed,4.6,T. Amisha,"Password reset via AD, user confirmed login."
TKT-S24-0001,02/02/2024,12:15,S0***513,Academic Hall 110,Furniture issue,Other,Closed,5.8,M. Patel,Cable swap resolved signal issue.
TKT-S24-0002,02/05/2024,16:28,S0***741,Show Me Center Lab,Canvas login loop,Account/Access,In Progress,3.7,M. Patel,"User unavailable, follow-up scheduled."
TKT-S24-0003,03/18/2024,09:49,S0***626,Kent Library 101,Furniture issue,Other,Closed,3.8,S. Davis,"Replaced toner cartridge, tested print job."
TKT-S24-0004,03/21/2024,16:18,S0***613,Show Me Center Lab,VPN not connecting,Network,Closed,2.7,T. Amisha,"Reinstalled driver, confirmed working."
TKT-S24-0005,03/20/2024,13:15,S0***813,Academic Hall 110,DNS resolution error,Network,Closed,2.5,R. Chen,"Reimaged workstation, software reinstalled."
TKT-S24-0006,02/12/2024,11:02,S0***003,Academic Hall 110,Application crashing,Software,Closed,2.4,S. Davis,"Password reset via AD, user confirmed login."
TKT-S24-0007,02/02/2024,09:35,S0***629,Carnahan Hall 214,Email access denied,Account/Access,Closed,4.0,T. Amisha,"Updated network config, connectivity restored."
TKT-S24-0008,03/15/2024,16:26,S0***801,Show Me Center Lab,Printer not connecting,Hardware,Closed,2.4,M. Patel,"Updated network config, connectivity restored."
TKT-S24-0009,03/07/2024,14:31,S0***298,Carnahan Hall 214,Canvas login loop,Account/Access,Closed,3.8,T. Amisha,"Reinstalled driver, confirmed working."
TKT-S24-0010,02/01/2024,14:40,S0***562,Kent Library 102,SSO failure,Account/Access,In Progress,1.9,A. Johnson,Escalated to senior tech for further diagnosis.
TKT-S24-0011,03/18/2024,11:36,S0***707,Academic Hall 110,Driver conflict,Software,Closed,1.7,A. Johnson,"Reimaged workstation, software reinstalled."
TKT-S24-0012,01/23/2024,14:52,S0***508,Carnahan Hall 214,Lab equipment request,Other,Closed,5.6,R. Chen,"Updated network config, connectivity restored."
TKT-S24-0013,02/12/2024,09:08,S0***412,Carnahan Hall 214,Monitor no signal,Hardware,Closed,4.6,A. Johnson,"Updated network config, connectivity restored."
