ticket_id,date,time,requester_id,lab_location,issue_description,category,status,resolution_hrs,assigned_tech,resolution_notes
TKT-F23-0000,11/09/2023,15:57,S0***696,Show Me Center Lab,Canvas login loop,Account/Access,Closed,3.8,T. Amisha,"Reimaged workstation, software reinstalled."
TKT-F23-0001,09/19/2023,14:56,S0***849,Kent Library 101,General IT inquiry,Other,Closed,1.2,R. Chen,"Updated network config, connectivity restored."
TKT-F23-0002,09/18/2023,12:40,S0***216,Academic Hall 110,USB device not recognized,Hardware,Closed,2.9,R. Chen,"Updated network config, connectivity restored."
TKT-F23-0003,09/06/2023,15:11,S0***573,Show Me Center Lab,OS update loop,Software,Closed,0.7,S. Davis,"Password reset via AD, user confirmed login."
TKT-F23-0004,09/18/2023,13:04,S0***366,Kent Library 101,Keyboard unresponsive,Hardware,In Progress,4.5,A. Johnson,"User unavailable, follow-up scheduled."
TKT-F23-0005,10/16/2023,10:32,S0***704,Show Me Center Lab,IP conflict detected,Network,Closed,4.7,S. Davis,"Reset credentials, user verified access."
TKT-F23-0006,10/17/2023,13:11,S0***367,Academic Hall 110,No internet connection,Network,Closed,3.0,A. Johnson,"Replaced toner cartridge, tested print job."
TKT-F23-0007,09/18/2023,11:30,S0***799,Carnahan Hall 214,WiFi authentication failed,Network,Closed,3.1,R. Chen,"Cleared browser cache, issue resolved."
TKT-F23-0008,10/02/2023,15:53,S0***110,Kent Library 101,Printer not connecting,Hardware,Closed,3.1,R. Chen,"Replaced toner cartridge, tested print job."
TKT-F23-0009,11/06/2023,12:33,S0***078,Kent Library 102,General IT inquiry,Other,Closed,3.1,S. Davis,"Reimaged workstation, software reinstalled."
TKT-F23-0010,11/14/2023,12:48,S0***148,Carnahan Hall 214,PC won't power on,Hardware,Closed,3.3,A. Johnson,Cable swap resolved signal issue.
TKT-F23-0011,10/02/2023,13:20,S0***431,Kent Library 101,Monitor no signal,Hardware,Closed,1.4,R. Chen,"Updated network config, connectivity restored."
TKT-F23-0012,09/25/2023,09:51,S0***705,Kent Library 101,Lab equipment request,Other,Closed,4.1,S. Davis,"Reset credentials, user verified access."
TKT-F23-0013,10/27/2023,14:35,S0***414,Kent Library 101,OS update loop,Software,Closed,3.7,S. Davis,"Reset credentials, user verified access."
TKT-F23-0014,09/04/2023,10:26,S0***669,Academic Hall 110,Browser freezing,Software,In Progress,2.6,A. Johnson,"User unavailable, follow-up scheduled."
TKT-F23-0015,11/03/2023,10:41,S0***249,Kent Library 101,Driver conflict,Software,Closed,3.7,A. Johnson,"Cleared browser cache, issue resolved."
TKT-F23-0016,09/20/2023,11:26,S0***597,Show Me Center Lab,IP conflict detected,Network,Closed,1.9,R. Chen,"Cleared browser cache, issue resolved."
TKT-F23-0017,09/05/2023,11:48,S0***824,Kent Library 102,PC won't power on,Hardware,In Progress,4.1,T. Amisha,"User unavailable, follow-up scheduled."
TKT-F23-0018,10/30/2023,11:37,S0***710,Academic Hall 110,WiFi authentication failed,Network,Closed,5.1,A. Johnson,"Replaced toner cartridge, tested print job."
TKT-F23-0019,09/15/2023,11:54,S0***697,Academic Hall 110,MFA not working,Account/Access,Closed,1.1,R. Chen,"Reset credentials, user verified access."
TKT-F23-0020,08/28/2023,12:59,S0***896,Academic Hall 110,Application crashing,Software,Closed,5.4,R. Chen,"Reset credentials, user verified access."
TKT-F23-0021,10/31/2023,08:15,S0***087,Kent Library 101,Browser freezing,Software,Closed,0.5,S. Davis,"Updated network config, connectivity restored."
TKT-F23-0022,09/04/2023,16:36,S0***713,Kent Library 102,Monitor no signal,Hardware,In Progress,4.0,T. Amisha,Awaiting replacement part from IT supply room.
TKT-F23-0023,09/29/2023,10:35,S0***884,Kent Library 102,DNS resolution error,Network,Closed,2.1,S. Davis,"Cleared browser cache, issue resolved."
TKT-F23-0024,10/03/2023,15:09,S0***381,Kent Library 101,Application crashing,Software,Closed,4.2,A. Johnson,"Replaced toner cartridge, tested print job."
TKT-F23-0025,10/12/2023,16:06,S0***646,Carnahan Hall 214,IP conflict detected,Network,In Progress,4.0,R. Chen,Escalated to senior tech for further diagnosis.
TKT-F23-0026,11/07/2023,09:11,S0***790,Academic Hall 110,Monitor no signal,Hardware,Closed,3.6,T. Amisha,"Reinstalled driver, confirmed working."
TKT-F23-0027,09/28/2023,10:55,S0***591,Show Me Center Lab,Furniture issue,Other,Closed,2.8,A. Johnson,"Reimaged workstation, software reinstalled."
TKT-F23-0028,08/29/2023,15:59,S0***495,Kent Library 101,Slow network speed,Network,Closed,4.4,T. Amisha,Cable swap resolved signal issue.
TKT-F23-0029,11/13/2023,15:22,S0***839,Kent Library 101,Email access denied,Account/Access,Open,,A. Johnson,"Ticket submitted, pending assignment."
TKT-F23-0030,11/10/2023,09:03,S0***813,Carnahan Hall 214,USB device not recognized,Hardware,Open,,S. Davis,"Ticket submitted, pending assignment."
TKT-F23-0031,09/11/2023,16:18,S0***004,Show Me Center Lab,Driver conflict,Software,Closed,2.1,M. Patel,"Cleared browser cache, issue resolved."
TKT-F23-0032,10/02/2023,08:11,S0***630,Academic Hall 110,Room booking question,Other,In Progress,4.6,T. Amisha,Escalated to senior tech for further diagnosis.
TKT-F23-0033,09/14/2023,09:22,S0***801,Kent Library 102,MFA not working,Account/Access,Closed,5.7,R. Chen,"Reimaged workstation, software reinstalled."
TKT-F23-0034,10/06/2023,10:48,S0***297,Kent Library 102,Account locked out,Account/Access,Closed,3.4,R. Chen,Cable swap resolved signal issue.
TKT-F23-0035,10/02/2023,13:16,S0***562,Show Me Center Lab,General IT inquiry,Other,Closed,3.2,A. Johnson,"Reset credentials, user verified access."
TKT-F23-0036,09/15/2023,14:33,S0***706,Carnahan Hall 214,Lab equipment request,Other,Closed,5.0,M. Patel,"Replaced toner cartridge, tested print job."
TKT-F23-0037,08/24/2023,11:08,S0***509,Carnahan Hall 214,General IT inquiry,Other,Closed,5.3,A. Johnson,"Replaced toner cartridge, tested print job."
TKT-F23-0038,10/12/2023,09:44,S0***412,Show Me Center Lab,WiFi authentication failed,Network,Closed,0.6,T. Amisha,"Updated network config, connectivity restored."
TKT-F23-0039,11/13/2023,16:19,S0***528,Carnahan Hall 214,Monitor no signal,Hardware,Closed,1.4,S. Davis,"Reset credentials, user verified access."
TKT-F23-0040,09/25/2023,14:56,S0***636,Show Me Center Lab,Software install failed,Software,Closed,5.3,S. Davis,Cable swap resolved signal issue.
TKT-F23-0041,09/25/2023,09:10,S0***178,Show Me Center Lab,USB device not recognized,Hardware,Closed,0.8,M. Patel,"Reinstalled driver, confirmed working."
TKT-F23-0042,10/30/2023,13:14,S0***467,Show Me Center Lab,Lab equipment request,Other,Open,,M. Patel,"Ticket submitted, pending assignment."
TKT-F23-0043,09/06/2023,09:59,S0***870,Academic Hall 110,MFA not working,Account/Access,Closed,3.5,T. Amisha,"Cleared browser cache, issue resolved."
TKT-F23-0044,11/01/2023,11:10,S0***486,Carnahan Hall 214,Keyboard unresponsive,Hardware,Closed,5.8,A. Johnson,"Reset credentials, user verified access."
TKT-F23-0045,09/22/2023,11:13,S0***094,Kent Library 102,General IT inquiry,Other,Closed,4.7,M. Patel,"Reimaged workstation, software reinstalled."
TKT-F23-0046,09/14/2023,16:43,S0***137,Academic Hall 110,Printer not connecting,Hardware,Closed,5.4,T. Amisha,"Reimaged workstation, software reinstalled."
TKT-F23-0047,10/02/2023,11:53,S0***725,Carnahan Hall 214,Driver conflict,Software,Closed,1.3,T. Amisha,"Replaced toner cartridge, tested print job."
TKT-F23-0048,09/28/2023,12:19,S0***638,Academic Hall 110,General IT inquiry,Other,Closed,2.1,S. Davis,"Password reset via AD, user confirmed login."
TKT-F23-0049,09/04/2023,10:30,S0***319,Show Me Center Lab,Email access denied,Account/Access,Closed,5.1,R. Chen,"Cleared browser cache, issue resolved."
TKT-F23-0050,09/26/2023,14:51,S0***881,Show Me Center Lab,Keyboard unresponsive,Hardware,In Progress,2.9,A. Johnson,Escalated to senior tech for further diagnosis.
TKT-F23-0051,11/17/2023,12:32,S0***094,Kent Library 101,Lab equipment request,Other,Open,,T. Amisha,"Ticket submitted, pending assignment."
TKT-F23-0052,09/25/2023,11:46,S0***184,Academic Hall 110,Lab equipment request,Other,In Progress,4.9,S. Davis,Awaiting replacement part from IT supply room.
TKT-F23-0053,11/14/2023,10:08,S0***597,Carnahan Hall 214,Account locked out,Account/Access,Closed,4.5,M. Patel,"Reset credentials, user verified access."
TKT-F23-0054,08/28/2023,13:05,S0***778,Kent Library 102,WiFi authentication failed,Network,Closed,4.3,S. Davis,"Replaced toner cartridge, tested print job."
TKT-F23-0055,10/16/2023,12:02,S0***839,Kent Library 101,DNS resolution error,Network,Closed,3.7,S. Davis,Cable swap resolved signal issue.
TKT-F23-0056,09/15/2023,13:09,S0***557,Kent Library 102,Furniture issue,Other,Closed,2.6,S. Davis,"Cleared browser cache, issue resolved."
TKT-F23-0057,10/16/2023,16:47,S0***377,Carnahan Hall 214,Email access denied,Account/Access,Closed,1.2,A. Johnson,"Reimaged workstation, software reinstalled."
TKT-F23-0058,09/12/2023,09:37,S0***410,Academic Hall 110,USB device not recognized,Hardware,Closed,2.8,T. Amisha,"Reset credentials, user verified access."
TKT-F23-0059,09/11/2023,16:21,S0***435,Show Me Center Lab,Mouse not working,Hardware,In Progress,2.8,T. Amisha,Awaiting replacement part from IT supply room.
TKT-F23-0060,10/10/2023,12:13,S0***797,Show Me Center Lab,SSO failure,Account/Access,Open,,S. Davis,"Ticket submitted, pending assignment."
TKT-F23-0061,11/06/2023,15:00,S0***015,Carnahan Hall 214,PC won't power on,Hardware,In Progress,4.4,T. Amisha,"User unavailable, follow-up scheduled."
TKT-F23-0062,08/28/2023,10:55,S0***335,Kent Library 101,Driver conflict,Software,Closed,3.5,M. Patel,"Reimaged workstation, software reinstalled."
TKT-F23-0063,10/05/2023,12:50,S0***868,Academic Hall 110,Lab equipment request,Other,Closed,3.8,M. Patel,"Reimaged workstation, software reinstalled."
TKT-F23-0064,08/28/2023,08:30,S0***393,Show Me Center Lab,USB device not recognized,Hardware,Closed,1.7,T. Amisha,Cable swap resolved signal issue.
TKT-F23-0065,11/06/2023,09:08,S0***352,Kent Library 102,Email access denied,Account/Access,Closed,0.7,T. Amisha,"Reimaged workstation, software reinstalled."
TKT-F23-0066,09/25/2023,09:38,S0***857,Show Me Center Lab,IP conflict detected,Network,Closed,3.4,M. Patel,Cable swap resolved signal issue.
TKT-F23-0067,11/15/2023,10:16,S0***686,Academic Hall 110,Driver conflict,Software,Closed,1.0,T. Amisha,"Replaced toner cartridge, tested print job."
TKT-F23-0068,08/30/2023,10:10,S0***284,Carnahan Hall 214,Room booking question,Other,Closed,5.5,S. Davis,"Reinstalled driver, confirmed working."
TKT-F23-0069,09/21/2023,16:26,S0***762,Show Me Center Lab,Email access denied,Account/Access,Closed,2.3,M. Patel,"Reset credentials, user verified access."
TKT-F23-0070,08/28/2023,10:53,S0***897,Show Me Center Lab,Furniture issue,Other,Closed,0.7,R. Chen,"Reinstalled driver, confirmed working."
TKT-F23-0071,10/04/2023,11:35,S0***134,Academic Hall 110,Canvas login loop,Account/Access,Closed,4.4,M. Patel,Cable swap resolved signal issue.
TKT-F23-0072,11/13/2023,12:48,S0***584,Show Me Center Lab,Lab equipment request,Other,In Progress,3.5,T. Amisha,"User unavailable, follow-up scheduled."
TKT-F23-0073,08/25/2023,13:58,S0***025,Carnahan Hall 214,Room booking question,Other,Closed,4.0,A. Johnson,"Password reset via AD, user confirmed login."
TKT-F23-0074,10/11/2023,16:58,S0***900,Kent Library 101,Canvas login loop,Account/Access,In Progress,1.1,M. Patel,Awaiting replacement part from IT supply room.
TKT-F23-0075,10/26/2023,11:20,S0***323,Kent Library 102,WiFi authentication failed,Network,Closed,5.8,S. Davis,"Replaced toner cartridge, tested print job."
TKT-F23-0076,09/28/2023,15:03,S0***069,Academic Hall 110,Account locked out,Account/Access,Closed,3.2,R. Chen,Cable swap resolved signal issue.
TKT-F23-0077,11/13/2023,13:54,S0***583,Kent Library 101,Driver conflict,Software,Closed,3.1,A. Johnson,"Replaced toner cartridge, tested print job."
TKT-F23-0078,09/21/2023,10:38,S0***978,Show Me Center Lab,Slow network speed,Network,Closed,5.6,M. Patel,"Updated network config, connectivity restored."
TKT-F23-0079,11/01/2023,12:45,S0***029,Show Me Center Lab,USB device not recognized,Hardware,In Progress,1.7,M. Patel,Escalated to senior tech for further diagnosis.
TKT-F23-0080,09/01/2023,16:58,S0***183,Academic Hall 110,Keyboard unresponsive,Hardware,Closed,3.8,M. Patel,"Reimaged workstation, software reinstalled."
TKT-F23-0081,09/20/2023,13:15,S0***549,Academic Hall 110,Software install failed,Software,Closed,1.2,M. Patel,"Cleared browser cache, issue resolved."
TKT-F23-0082,10/30/2023,10:39,S0***907,Kent Library 102,License activation error,Software,Closed,2.0,T. Amisha,"Reset credentials, user verified access."
TKT-F23-0083,10/30/2023,13:45,S0***698,Show Me Center Lab,Room booking question,Other,In Progress,1.0,S. Davis,"User unavailable, follow-up scheduled."
TKT-F23-0084,09/18/2023,09:47,S0***038,Kent Library 102,DNS resolution error,Network,Closed,1.2,M. Patel,"Replaced toner cartridge, tested print job."
